,mean,std,min,max
Cz_gamma_skew,-0.014174801009633272,0.8830361617632866,-4.008152923212456,5.633293795572399
C4_delta_mean,-0.0493183431122606,0.8296864165804811,-3.1276615405358843,2.3360800297984645
C4_delta_var,-0.0975292411275656,0.9418137780803526,-1.333062850487805,3.6852040495001868
C4_delta_std,-0.11306577742949347,0.9995433339975981,-2.0580646028003997,2.961119120784216
C4_delta_kurt,-0.06692888599424388,0.9097814205739483,-1.4998844818305384,3.6831443828422126
C4_delta_skew,0.05471600266903371,0.8666704757289536,-2.2840591826885457,3.036448109810617
C4_theta_mean,0.0415873068029064,0.8435734395248138,-2.326202950225365,2.6721468845234826
C4_theta_var,-0.2827291768518901,0.7198359462739391,-1.4230266889724537,3.009804741241702
C4_theta_std,-0.29303009281472486,0.8067363139541613,-2.177010800107457,2.6668574391089246
C4_theta_kurt,-0.06701541358558015,0.9231416790088938,-1.1345420228669665,7.546038846964807
C4_theta_skew,-0.013884221854078366,0.827270359878237,-4.952442648048844,7.675364786934085
C4_alpha_mean,-0.006535720652581558,0.9298445228004268,-3.081021375545885,5.26223071251947
C4_alpha_var,-0.11629579922084403,0.7830501253475826,-0.6243428373058272,4.0034204309079655
C4_alpha_std,-0.10793740498077588,0.8628111632878547,-1.140834876144793,3.2830689404926234
C4_alpha_kurt,0.09193048026587265,1.165637336348169,-1.6076537945794815,4.88542220625375
C4_alpha_skew,-0.06292947426338774,1.2016250655786056,-8.83422800438434,7.62764643058512
C4_beta_mean,0.05283824321217374,0.9118442548583315,-2.1396640079562514,2.475023745701128
C4_beta_var,-0.36976733969449066,0.8971347870982904,-1.4197897242256152,3.507564317383098
C4_beta_std,-0.3801532961316012,0.9021374344602705,-1.718442871095989,2.8160519830490807
C4_beta_kurt,0.04866825427947598,0.899603881548366,-1.4886339761354022,3.3531756306436775
C4_beta_skew,-0.14507977573538294,0.9910731605544464,-3.1815532111514706,2.5926704267313676
C4_gamma_mean,-0.03053663889489849,0.867044803051714,-2.2739833952628676,2.6164986848500913
C4_gamma_var,-0.3792719859079592,0.4535058892054416,-0.9190687946292392,1.4887304296317836
