theta_fz,beta_fz,alpha_c3,alpha_c4,faa_c3c4,alpha_pz,alpha_po,alpha_oz,eda_norm,phase
55254.91572229586,34851.25554368361,232144.22112333475,378825.98286061495,0.4897181302171312,647721.6831368909,367347.37150836305,284793.0767794568,2.0269090137481687,focused
59451.25963346815,41368.49306096369,1279317.015779676,2303273.8783144895,0.5880051820755128,3425430.1014845013,1944493.3120864946,1609312.8385545283,2.0237790107727047,focused
74326.10237002459,55201.50480345169,380402.4629976691,783205.2006186967,0.7221649260046341,1380089.7293915204,809762.8689467199,634116.253938715,2.0229106359481808,focused
72624.17700009329,20330.13195913832,479636.5469417941,762971.4800200125,0.4641920286294514,1092748.5553574103,635889.2642959557,519497.72816367156,2.0237910547256472,focused
65065.71451038935,23552.721577478766,200949.53324473114,314322.2403025886,0.44736490453355593,426799.12096881255,238513.30250482788,203232.72456296757,2.0209089765548702,focused
58105.06132775881,24080.612997257944,311388.6428171204,486982.37008289923,0.4471861339951104,684116.9522534087,395323.95521932084,324899.8055101635,2.02015696811676,focused
113047.64214477915,50387.454825463916,340615.00884306943,544706.6402133787,0.46949454175302563,978543.1092267585,548260.0011752669,424673.24986560055,2.0183946037292477,focused
68704.67606053813,21802.66401071472,657874.7382666024,880838.0344607037,0.29185922037095935,1378965.2617637082,775164.8686470945,609562.7791538365,2.0173802251815793,focused
39225.10381772672,15859.343664993674,1193974.6358587476,1568803.4309570398,0.2730254111467474,2714286.9011337804,1492109.6214646138,1187234.690310876,2.0157467651367185,focused
52783.316211338264,32213.21190897547,232252.8431235769,306506.0116533708,0.2774107497905458,690397.2724168921,384345.2035063122,266680.961943118,2.0137264099121097,focused
131964.33593518817,74246.38154570233,344906.58332580095,440964.512488159,0.2456907942634725,741387.1125067507,405888.5943885393,324808.84727862995,2.0120925989150997,focused
9296.285011377535,9217.560940213087,313639.2654238773,397096.0116140548,0.23593460504410935,904402.9907945844,510068.9852630455,356427.028404568,2.0102110624313356,focused
12759.98156119587,6214.395161621377,757310.9763823056,1169600.3331936887,0.4346434037585585,2428543.633412985,1349146.4751588001,1025063.8448466491,2.008476457595825,focused
40889.75768138368,30114.822105297848,645199.3232082648,856376.5019474566,0.2831508208784541,1365341.9649267755,763861.3876453843,580297.9546862608,2.0072833986282346,focused
