mi,raw_mi,emi,timestamp,state,theta_fz,alpha_po,faa,beta_frontal,eda_norm,theta_fz_norm,alpha_po_norm,faa_norm,beta_frontal_norm,eda_norm_norm,mi_universal
0.9814008904831149,0.9999931933384616,0.978800166184532,1750884244.744543,continuous,197017.5669663253,189310.59786016232,4.664871732320321,128836.81866159129,5.414620097558104,4.601867968084024,0.44515062093720814,5.0909821636293415,6.422198521264568,7.277026720864694,0.34584751394792806
0.9802215452958938,0.9999917851285614,0.9771118488365932,1750884245.819676,continuous,308317.07615532854,596021.7784067474,3.5694577962896563,92392.18578699743,6.038305133071977,7.221442378487232,1.4327714953950397,1.8411912895677323,4.596622263452888,9.385495971888416,0.06397539105420726
0.9791480990011132,0.9999903419908336,0.9755541984972658,1750884246.7535126,continuous,5889.665663150579,235370.6420280034,6.210517191763989,23486.418226230104,6.575084011518776,0.10343160465273768,0.556998692183922,9.676485728460914,1.1450102327299974,10.0,0.6172677344641755
0.979825719509244,0.9999912714145472,0.9765397443673458,1750884247.7379186,continuous,73391.9087706555,534474.5845851538,4.611016665834121,92185.96584119133,6.239486623409406,1.6921820850250933,1.2833158219591199,4.93120904240813,4.5862923408482,10.0,0.13255857386871278
0.9800926623821206,0.9999916201838004,0.9769258636421384,1750884248.775167,continuous,97293.01002395668,734778.3459738549,4.8815138706559065,63726.152193109054,6.104240613007666,2.254724666567672,1.7697154722319322,5.733699606727921,3.1606898309679887,9.60840164394987,0.22480811976721496
0.980426790980802,0.9999920432239352,0.9774074365442408,1750884249.8060749,continuous,244476.73464555957,1420844.8590262756,4.313850829952919,78671.75753363634,5.932428977237874,5.7188793735920065,3.4356977268787454,4.049600008813924,3.9093416931550937,9.027564313629421,0.12749279124432697
0.9806134518896984,0.9999922731129044,0.9776756214000012,1750884250.8061912,continuous,363333.6765864861,2270327.324018844,4.619622291119223,138769.36931324017,5.835190766300989,8.516327501404541,5.498504590916894,4.956739557948635,6.919737588582287,8.69883464062058,0.09427594416427253
0.9803469842662562,0.999991943532583,0.977292588606638,1750884251.863696,continuous,352327.89841354673,2386993.251229196,4.427563756752997,90803.72348409717,5.973726032966345,8.257292622648269,5.781805642282322,4.386954884101345,4.517053371194265,9.167175763645295,0.0878730223081781
0.9803917763618294,0.9999919995889498,0.9773570614942758,1750884252.8329723,continuous,319103.9155430184,2079903.456995661,3.731779302343199,149343.63876863988,5.950568041010718,7.475324256628647,5.036096388087721,2.322754406199446,7.44942148820906,9.088886384914789,0.03227100975156361
0.9803665305815248,0.9999919680271055,0.9773207274914296,1750884253.846054,continuous,246002.86256851067,3092943.246617659,4.116225525050222,138282.32118428458,5.963626746556268,5.754798720254852,7.496071158248871,3.4633002629081435,6.895340484523303,9.133033474444169,0.035203462744430425
0.9804089495141688,0.9999920210102868,0.97738177094151,1750884255.5512998,continuous,620079.072475181,876792.690659675,4.048793919141527,157422.78216475708,5.941675586796286,10.0,2.114570342205443,3.2632492956003283,7.854120100983108,9.058823989299,0.06481235442976682
0.980367451735084,0.9999919691802012,0.9773220534206246,1750884255.9722602,continuous,106928.78929602267,394143.2435231103,4.142699352819411,27116.58856708286,5.96315055732152,2.481514892232851,0.9425478067123371,3.5418408045754735,1.3268518994817793,9.131423638866973,0.2081892587044501
0.9801128038290778,0.9999916461079876,0.9769549477247166,1750884256.7973545,continuous,30171.032516804324,1199727.511087472,4.436159724852603,106212.866739045,6.093964029436735,0.6749242170004711,2.89875623381324,4.412456749437338,5.288924669123077,9.573659972703854,0.09834357954985767
0.9798344797071016,0.9999912830138532,0.9765524348284296,1750884257.7332394,continuous,95839.16582850108,426715.06098206807,3.288152787784826,34233.87242707268,6.235076177779155,2.2205066086545737,1.0216422805801686,1.0066369540811426,1.6833692632212673,10.0,0.061010541713222205
0.979703041610969,0.9999911078730742,0.9763618903460916,1750884258.7128434,continuous,41785.27634231821,542626.2837772431,3.88528940849212,29083.889389821827,6.301054271142087,0.9482801027828109,1.3031106755788036,2.778176530777042,1.425397484680123,10.0,0.10801448020937694
0.9797636775783592,0.999991188964735,0.9764498300538867,1750884259.7684245,continuous,55544.06932800623,1031520.0073523184,2.977830793444042,53338.19856050678,6.270668934577674,1.2721106595028633,2.490296250721496,0.08599722871521728,2.6403388211448817,10.0,0.03091128415695177
