Adaptive MI,Universal MI,EMI,ATT
1.0,0.8999999782324646,1.0,1.0
1.0,0.8999999589893702,1.0,1.0
1.0,0.8999999751332388,1.0,1.0
1.0,0.8999999668378919,1.0,1.0
1.0,0.8999999610781753,1.0,1.0
1.0,0.8999999642532667,1.0,1.0
1.0,0.8999999622154828,1.0,1.0
1.0,0.8999999716003312,1.0,1.0
1.0,0.8999999624108179,1.0,1.0
1.0,0.8999999662521478,1.0,1.0
1.0,0.8999999485992037,1.0,1.0
1.0,0.8999999762269477,1.0,1.0
1.0,0.8999999763752472,1.0,1.0
1.0,0.8999999692716926,1.0,1.0
1.0,0.8999999661947146,1.0,1.0
1.0,0.8999999796498852,1.0,1.0
1.0,0.8999999721542117,1.0,1.0
1.0,0.8999999666765822,1.0,1.0
1.0,0.8999999520068045,1.0,1.0
1.0,0.8999999717731881,1.0,1.0
1.0,0.8999999707485976,1.0,1.0
1.0,0.8999999651648728,1.0,1.0
1.0,0.8999999677938703,1.0,1.0
1.0,0.8999999642463115,1.0,1.0
1.0,0.8999999706054455,1.0,1.0
1.0,0.8999999652982159,1.0,1.0
1.0,0.8999999794332869,1.0,1.0
1.0,0.8999999682980139,1.0,1.0
1.0,0.899999968529206,1.0,1.0
1.0,0.8999999783624012,1.0,1.0
1.0,0.8999999701240442,1.0,1.0
1.0,0.8999999690587485,1.0,1.0
1.0,0.8999999652678917,1.0,1.0
1.0,0.8999999686581702,0.0,1.0
1.0,0.8999999691877801,1.0,1.0
1.0,0.8999999605000285,1.0,1.0
1.0,0.8999999592080156,1.0,1.0
1.0,0.8999999756591308,1.0,1.0
1.0,0.899999963836048,1.0,1.0
1.0,0.8999999710255775,1.0,1.0
1.0,0.8999999645652892,1.0,1.0
1.0,0.8999999586027565,1.0,1.0
1.0,0.8999999682886483,1.0,1.0
1.0,0.899999962770621,1.0,1.0
1.0,0.8999999753895537,1.0,1.0
1.0,0.8999999794815476,1.0,1.0
1.0,0.8999999679485425,1.0,1.0
0.7404869425702342,0.8201328025191549,1.0,1.0
0.40715360923690097,0.23290783415343974,0.3756091910574453,1.0
0.07382027590356759,0.11738114967049898,0.24959602154273153,0.5291715931341987
0.0,0.7189048800334581,0.7113121980890842,1.0
0.0,0.3595474928987392,0.41131625472240174,1.0
0.0,0.2127204646294703,0.43784122028045547,1.0
0.3333333333333333,0.8999160037345234,1.0,1.0
0.6666666666666666,0.8999999682875546,1.0,1.0
1.0,0.8999999762234231,1.0,1.0
1.0,0.899999966941311,1.0,1.0
1.0,0.8999999756975176,1.0,1.0
1.0,0.8999999788874699,1.0,1.0
1.0,0.8999999727593178,1.0,1.0
1.0,0.8999999731133678,1.0,1.0
1.0,0.8999999755481053,1.0,1.0
1.0,0.8999999623371213,1.0,1.0
1.0,0.8999999646690705,1.0,1.0
1.0,0.8999999685383362,1.0,1.0
1.0,0.8999999534847357,0.0,1.0
1.0,0.8999999731521637,1.0,1.0
1.0,0.8999999776549331,1.0,1.0
1.0,0.8999999583693631,1.0,1.0
1.0,0.8999999722412791,1.0,1.0
1.0,0.8999999829138586,0.0,1.0
1.0,0.8999999705467531,1.0,1.0
1.0,0.8999999751125215,1.0,1.0
1.0,0.8999999700125035,1.0,1.0
1.0,0.8999999696934248,1.0,1.0
1.0,0.8999999701611322,1.0,1.0
1.0,0.8999999628898254,1.0,1.0
1.0,0.8999999770627649,1.0,1.0
1.0,0.8999999728107888,1.0,1.0
1.0,0.8999999692477618,1.0,1.0
1.0,0.8999999774393342,1.0,1.0
1.0,0.8999999655938374,1.0,1.0
1.0,0.899999963524753,0.0,1.0
1.0,0.8999999585157207,1.0,1.0
1.0,0.8999999766776208,1.0,1.0
1.0,0.899999976064986,1.0,1.0
1.0,0.8999999698360177,1.0,1.0
1.0,0.899999971581807,1.0,1.0
1.0,0.8999999753746848,1.0,1.0
1.0,0.8999999607383155,1.0,1.0
1.0,0.8999999711203636,1.0,1.0
1.0,0.8999999733552466,0.0,1.0
1.0,0.8999999743229791,1.0,1.0
1.0,0.899999962414378,1.0,1.0
1.0,0.8999999612855082,1.0,1.0
1.0,0.8999999811295543,1.0,1.0
1.0,0.8999999814444327,1.0,1.0
1.0,0.8999999713762844,1.0,1.0
1.0,0.8999999746174534,1.0,1.0
1.0,0.8999999701145996,1.0,1.0
1.0,0.8999999562186513,1.0,1.0
1.0,0.8999999646153152,1.0,1.0
1.0,0.8999999686438926,1.0,1.0
1.0,0.8999999674084775,1.0,1.0
1.0,0.899999968550475,1.0,1.0
1.0,0.8999999714635624,1.0,1.0
1.0,0.8999999751975486,1.0,1.0
1.0,0.8999999719406934,1.0,1.0
1.0,0.8999999708363821,1.0,1.0
1.0,0.899999969387533,1.0,1.0
1.0,0.8999999711899846,1.0,1.0
1.0,0.8999999356843448,1.0,1.0
1.0,0.8999999675290927,1.0,1.0
1.0,0.8999999772026492,1.0,1.0
1.0,0.8999999701077116,1.0,1.0
1.0,0.8999999670617922,1.0,1.0
1.0,0.8999999762472121,1.0,1.0
1.0,0.8999999757182661,1.0,1.0
1.0,0.8999999815896768,1.0,1.0
1.0,0.8999999687784813,1.0,1.0
1.0,0.8999999654302495,1.0,1.0
1.0,0.8999999766428911,1.0,1.0
1.0,0.8999999744411624,1.0,1.0
1.0,0.8999999772508124,1.0,1.0
1.0,0.8999999729414875,1.0,1.0
1.0,0.8999999762527979,1.0,1.0
1.0,0.8999999776414919,1.0,1.0
1.0,0.8999999742759343,1.0,1.0
