theta_fz,alpha_po,faa,beta_frontal,eda_norm
-10.079288899277648,-10.079288899277648,-10.079288899277648,-10.079288899277648,317050.5063
-4.069860393491884,-4.069860393491884,-4.069860393491884,-4.069860393491884,317051.0066999998
1.823028901591897,1.823028901591897,1.823028901591897,1.823028901591897,317051.5063
6.898300037098427,6.898300037098427,6.898300037098427,6.898300037098427,317052.0063
10.795677126695711,10.795677126695711,10.795677126695711,10.795677126695711,317052.5060999999
13.45695879124105,13.45695879124105,13.45695879124105,13.45695879124105,317053.0063
14.905784945935013,14.905784945935013,14.905784945935013,14.905784945935013,317053.5063
15.529138748844463,15.529138748844463,15.529138748844463,15.529138748844463,317054.0063
15.555649067585668,15.555649067585668,15.555649067585668,15.555649067585668,317054.50650000013
15.37286792229861,15.37286792229861,15.37286792229861,15.37286792229861,317055.0063
15.23526762674252,15.23526762674252,15.23526762674252,15.23526762674252,317055.50650000013
15.44464109900097,15.44464109900097,15.44464109900097,15.44464109900097,317056.0063
15.968077477067707,15.968077477067707,15.968077477067707,15.968077477067707,317056.5063
16.629592401285965,16.629592401285965,16.629592401285965,16.629592401285965,317057.0063
17.062451581781108,17.062451581781108,17.062451581781108,17.062451581781108,317057.5060999999
16.700637958943844,16.700637958943844,16.700637958943844,16.700637958943844,317058.00650000013
15.415034752339125,15.415034752339125,15.415034752339125,15.415034752339125,317058.5060999999
13.35809514982005,13.35809514982005,13.35809514982005,13.35809514982005,317059.0060999999
10.987715622099737,10.987715622099737,10.987715622099737,10.987715622099737,317059.5063
8.866038183681667,8.866038183681667,8.866038183681667,8.866038183681667,317060.00650000013
7.33963167698433,7.33963167698433,7.33963167698433,7.33963167698433,317060.50650000013
6.382686197757721,6.382686197757721,6.382686197757721,6.382686197757721,317061.0063
5.637876531109214,5.637876531109214,5.637876531109214,5.637876531109214,317061.5060999999
4.655900121976932,4.655900121976932,4.655900121976932,4.655900121976932,317062.00650000013
3.196506510488689,3.196506510488689,3.196506510488689,3.196506510488689,317062.5063
1.1819570374985535,1.1819570374985535,1.1819570374985535,1.1819570374985535,317063.0060999999
-0.8686668798327446,-0.8686668798327446,-0.8686668798327446,-0.8686668798327446,317063.5060999999
-2.416260562837124,-2.416260562837124,-2.416260562837124,-2.416260562837124,317064.0063
-2.9592427449921765,-2.9592427449921765,-2.9592427449921765,-2.9592427449921765,317064.50650000013
-2.236380440493425,-2.236380440493425,-2.236380440493425,-2.236380440493425,317065.0063
-0.3466970684627692,-0.3466970684627692,-0.3466970684627692,-0.3466970684627692,317065.5063
2.2654446916033826,2.2654446916033826,2.2654446916033826,2.2654446916033826,317066.0063
5.092051030447085,5.092051030447085,5.092051030447085,5.092051030447085,317066.5063
7.657507579773664,7.657507579773664,7.657507579773664,7.657507579773664,317067.0060999999
9.709498749425014,9.709498749425014,9.709498749425014,9.709498749425014,317067.5063
11.191918678581716,11.191918678581716,11.191918678581716,11.191918678581716,317068.0060999999
12.115794759243729,12.115794759243729,12.115794759243729,12.115794759243729,317068.5060999999
12.635990844418606,12.635990844418606,12.635990844418606,12.635990844418606,317069.00650000013
13.178550944974026,13.178550944974026,13.178550944974026,13.178550944974026,317069.50650000013
14.058438724527756,14.058438724527756,14.058438724527756,14.058438724527756,317070.0060999999
15.586608396222193,15.586608396222193,15.586608396222193,15.586608396222193,317070.5063
17.758072443306446,17.758072443306446,17.758072443306446,17.758072443306446,317071.00650000013
20.3435946131746,20.3435946131746,20.3435946131746,20.3435946131746,317071.50650000013
22.827085237950087,22.827085237950087,22.827085237950087,22.827085237950087,317072.0063
24.64593782555312,24.64593782555312,24.64593782555312,24.64593782555312,317072.50650000013
25.366058574368555,25.366058574368555,25.366058574368555,25.366058574368555,317073.0060999999
24.590723659843206,24.590723659843206,24.590723659843206,24.590723659843206,317073.50685
22.23263373101751,22.23263373101751,22.23263373101751,22.23263373101751,317074.0063
18.283964813997347,18.283964813997347,18.283964813997347,18.283964813997347,317074.5063
13.112131457775831,13.112131457775831,13.112131457775831,13.112131457775831,317075.0063
7.214008948455254,7.214008948455254,7.214008948455254,7.214008948455254,317075.5063
