Adaptive MI,mi,EMI,ATT
1,0.8999999492598064,1,1
1,0.8999999405873608,0,1
1,0.8999999295380955,1,1
1,0.8999996366672826,0,1
1,0.8999999461132023,1,1
1,0.8999999481785557,0,1
1,0.8999999357784937,1,1
1,0.8999995502158561,1,1
1,0.8999999343573383,1,1
1,0.8999999246211078,1,1
1,0.8999999540148093,1,1
1,0.8999999585235904,1,1
1,0.8999999429605522,0,1
1,0.8999999603046897,0,1
1,0.8999996357414033,0,1
1,0.8999999095625989,1,1
1,0.8999996400795517,1,1
1,0.8999999479105932,1,1
1,0.8999999346289664,1,1
1,0.8999999359336487,1,1
1,0.8999999412230216,0.8943296741889817,1
1,0.8999999349865416,1,1
1,0.8999999429401578,1,1
1,0.899999962,1,1
1,0.8999999567244553,1,1
1,0.8999998269662883,1,1
1,0.899999599,0.4051084203886348,1
1,0.8999980762940893,1,1
1,0.8999988848884906,1,1
1,0.8999916875606776,0.9221349942886614,1
1,0.899999934,1,1
1,0.8998961236580357,0.7400504931996832,1
1,0.8999993417376201,1,1
1,0.8999999370435665,1,1
1,0.8999955477282038,1,1
1,0.8999999280932917,1,1
1,0.8964040315626102,0.7061170920180122,0.2708996489563539
1,0.8999999355475442,1,1
1,0.8999998177641257,1,1
1,0.8999996070982593,1,1
1,0.899997882,1,1
1,0.899998581,1,1
1,0.8999998926700824,1,1
1,0.8999998977281519,1,1
1,0.8999994807261892,1,1
1,0.8999487279373438,1,1
1,0.899999589,1,1
1,0.8999981882308556,1,1
1,0.8999901192698251,1,1
1,0.8999852356123144,1,1
1,0.8999996133127836,0.5673641643283216,1
1,0.8999994719535523,1,1
1,0.8999971409471851,1,1
0.6666666666666666,0.6899615632683843,0.5763806831875656,0.34173132504829484
0.6633977409060062,0.8900175657016378,0.9014210996262888,1
0.3300644075726729,0.7264968368850983,0.7310847309552075,1
0.3300644075726729,0.7523182468490497,0.8829413051482562,1
0,0.25906935102174733,0.3652841846915079,0.9758132128662712
0.3305918304514967,0.8901614083049534,0.8505342097641908,1
0.663925164,0.8999814423677691,0.9511110870201192,1
0.9972584971181634,0.8999999085106744,1,1
1,0.8999998227965497,0.3334966454245619,1
1,0.8999991701637429,1,1
1,0.8999991617518087,1,1
1,0.8999996987696581,1,1
1,0.8999980882414635,1,1
1,0.89999793,1,1
1,0.8999981842641586,1,1
1,0.8999994845762758,1,1
1,0.8999961578337102,1,1
1,0.8999955034112505,0.036380617,1
1,0.8999997905193021,1,1
1,0.8999997776054371,1,1
1,0.8999999142530306,1,1
1,0.8999979024472569,1,1
1,0.8999994736664199,0.9374295097474428,1
1,0.899999771,1,1
1,0.8999980533445561,1,1
1,0.8999987500358804,1,1
1,0.8999988727193557,0.3701746899289546,1
1,0.89939962,0.49228071923579675,1
1,0.8999995426206242,1,1
1,0.8999953604556721,1,1
1,0.8999994524847428,1,1
1,0.8999996463088729,1,1
1,0.8999997754218481,1,1
1,0.8999692404079184,1,1
1,0.899998032,1,1
1,0.8999996833472902,1,1
1,0.8999965516383103,1,1
1,0.8999989097371722,1,1
1,0.8999999408990041,1,1
1,0.8999989955280823,1,1
1,0.8999999356176297,1,1
1,0.8999984254561119,1,1
1,0.899998747,1,1
1,0.8999955232196876,1,1
1,0.8999962514861268,1,1
1,0.8999963654959275,1,1
1,0.8999887843747562,1,1
1,0.8999993981985698,1,1
1,0.8999999616991319,1,1
1,0.8999999176965229,1,1
1,0.8999999169451937,0.9768745051103638,1
1,0.8999985042586326,1,1
1,0.8999998315953158,1,1
1,0.8999996714354244,1,1
1,0.8999977974690749,1,1
1,0.8999996997726458,1,1
1,0.8999966562919173,1,1
1,0.8999995412983347,1,1
1,0.899999936,1,1
1,0.8999995505329899,0.4932176124080206,1
1,0.8994196266943952,0,1
1,0.8999888295812939,1,1
1,0.8999984301890294,1,1
1,0.8999999246679977,1,1
1,0.899999016,1,1
1,0.8999947261822892,1,1
1,0.8999997750267898,1,1
1,0.8999987890186787,1,1
1,0.8999988762761773,0.9919626719601218,1
1,0.899999439,1,1
1,0.8999995498326346,1,1
1,0.8999976742945116,1,1
1,0.899997627,1,1
1,0.8999998594718159,1,1
1,0.8999983426755612,1,1
1,0.8999989567544912,1,1
1,0.8999984803744056,1,1
1,0.8999826522567607,1,1
0.886209899,0.8598754271318674,0.9529621059066413,1
0.886209899,0.8999991355406854,1,1
0.886209899,0.8999961414945997,1,1
1,0.899998872,1,1
1,0.899999428,1,1
1,0.8999986973480901,1,1
1,0.8999997021246474,1,1
1,0.8999976239897938,1,1
1,0.8999977279343975,1,1
1,0.8999995713219481,1,1
1,0.8999963218155906,0.9343733994102186,1
1,0.8999997476392257,1,1
1,0.8999967106292533,1,1
1,0.899999599,1,1
1,0.8999998211495289,1,1
1,0.8999995281838448,1,1
1,0.8999994835704305,1,1
1,0.8999988872330928,1,1
1,0.8999963721848522,0.9948150725792345,1
1,0.8999968624502852,1,1
1,0.8999922138320223,1,1
