Adaptive MI,Universal MI,EMI,ATT
1.0,0.8999999767824282,1.0,1.0
1.0,0.8999999816937962,1.0,1.0
1.0,0.8999999546062196,1.0,1.0
1.0,0.8999999632213398,1.0,1.0
1.0,0.899999961892903,1.0,1.0
1.0,0.8999999494308762,1.0,1.0
1.0,0.8999999544175368,1.0,1.0
1.0,0.8999999594609606,1.0,1.0
1.0,0.8999999558191693,1.0,1.0
1.0,0.8999999553708191,0.0,1.0
1.0,0.8999999502795984,1.0,1.0
1.0,0.8999999513131317,1.0,1.0
1.0,0.8999999641751378,1.0,1.0
1.0,0.8999999594921548,1.0,1.0
1.0,0.8999999618930872,1.0,1.0
1.0,0.8999999518350212,1.0,1.0
1.0,0.8999999528643204,1.0,1.0
1.0,0.8999999585126052,0.0,1.0
1.0,0.8999999527306867,1.0,1.0
1.0,0.8999999585537409,1.0,1.0
1.0,0.8999999626619722,1.0,1.0
1.0,0.8999999570002928,1.0,1.0
1.0,0.8999999528610941,1.0,1.0
1.0,0.8999999533386924,1.0,1.0
1.0,0.8999999522774434,1.0,1.0
1.0,0.8999999504886176,1.0,1.0
1.0,0.8999999511104125,1.0,1.0
1.0,0.8999999481802032,1.0,1.0
1.0,0.8999999539604849,1.0,1.0
1.0,0.899999956508934,0.0,1.0
1.0,0.8999999516042508,1.0,1.0
1.0,0.8999999494381353,1.0,1.0
1.0,0.8999999561464962,1.0,1.0
1.0,0.8999999496739773,1.0,1.0
1.0,0.8999999594925842,1.0,1.0
1.0,0.8999999395447158,1.0,1.0
1.0,0.8999999530318935,1.0,1.0
1.0,0.8999999502172931,1.0,1.0
1.0,0.899999956484728,1.0,1.0
1.0,0.8999999540349831,1.0,1.0
1.0,0.8999999514058804,1.0,1.0
1.0,0.8999999531760197,1.0,1.0
1.0,0.8999999503774888,1.0,1.0
1.0,0.8999999556951498,1.0,1.0
1.0,0.8999999527975999,0.0,1.0
1.0,0.8999999628429157,1.0,1.0
1.0,0.8999999493448831,1.0,1.0
1.0,0.8999999536431885,1.0,1.0
1.0,0.8999999572086708,0.0,1.0
1.0,0.8999999560391163,1.0,1.0
1.0,0.8999999560070611,1.0,1.0
1.0,0.8999999515250839,1.0,1.0
1.0,0.8999999558084227,1.0,1.0
