Adaptive MI,mi,EMI,ATT
1,0.8999999647891698,1,1
1,0.8999999650121365,1,1
1,0.8999999639796208,1,1
1,0.8999999723588972,1,1
1,0.8999999684243768,1,1
1,0.8999999664066295,1,1
1,0.8999999675129684,1,1
1,0.8999999579505725,1,1
1,0.8999999715982034,1,1
1,0.8999999664447907,1,1
1,0.8999999621455119,1,1
1,0.8999999692327442,1,1
1,0.8999999673524127,1,1
1,0.8999999703334195,1,1
1,0.8999999678333607,1,1
1,0.8999999689034083,1,1
1,0.8999999692663564,1,1
1,0.8999999685823179,1,1
1,0.8999999723351425,1,1
1,0.8999999700201448,1,1
1,0.8999999746211079,1,1
1,0.8999999768828166,1,1
1,0.8999999714257757,1,1
1,0.8999999676983301,0,1
1,0.8999999663642205,1,1
1,0.8999999610951881,1,1
1,0.8999999619285325,1,1
1,0.8999999593273562,1,1
1,0.8999999567680893,1,1
0.6666666666666666,0.2858615723023028,0.4175685398175672,1
0.6666666666666666,0.8996857503012071,0.927879897,1
0.5996253144012452,0.872625086,0.8780684929116944,1
0.9329586477345786,0.8994799630952174,0.7907343844730267,0.35981574806708105
0.5996253144012452,0.7071911871104489,0.6997157704855583,1
0.6666666666666666,0.8999999638057068,1,1
0.6666666666666666,0.8999999619349971,1,1
1,0.899999953,1,1
1,0.8999999633047877,1,1
1,0.899999966,0,1
1,0.8999999598141076,1,1
1,0.8999999670583303,1,1
1,0.8999999635060907,1,1
1,0.8999999633687046,1,1
1,0.8999999637005621,1,1
1,0.8999999643069915,1,1
1,0.8999999659109511,1,1
1,0.8999999618976444,1,1
1,0.8999999629013105,1,1
1,0.8999999567772916,1,1
1,0.8999999539200244,1,1
1,0.8999999631250147,1,1
1,0.8999999613951469,1,1
1,0.8999999673528174,0,1
1,0.8999999647309548,1,1
1,0.8999999663375892,1,1
1,0.8999999573258922,1,1
1,0.8999999611924019,0,1
1,0.899999956,1,1
1,0.8999999620757949,1,1
1,0.8999999561916006,1,1
1,0.8999999597114473,1,1
1,0.8999999593667066,1,1
1,0.8999999650220469,0,1
1,0.8999999632305007,1,1
1,0.8999999616832287,1,1
1,0.8999999613656321,0,1
1,0.8999999633616399,1,1
1,0.89999997,1,1
1,0.8999999568209853,1,1
1,0.8999999635238581,1,1
1,0.8999999562587037,1,1
1,0.8999999551642962,1,1
1,0.8999999483419927,1,1
1,0.8999999571781429,1,1
1,0.8999999586882218,1,1
1,0.8999999632098702,1,1
1,0.8999999544880768,1,1
1,0.8999999609449246,0,1
1,0.8999999548787913,1,1
1,0.8999999579534724,1,1
1,0.8999999521497921,1,1
1,0.8999999593615893,1,1
1,0.8999999662920688,0,1
1,0.8999999596364174,1,1
1,0.8999999617739879,0,1
1,0.8999999617211487,1,1
1,0.8999999585372749,1,1
1,0.8999999571493176,1,1
1,0.8999999555486712,1,1
1,0.8999999582305613,1,1
1,0.8999999759108684,0,1
1,0.8999999533083689,1,1
1,0.8999999593785278,1,1
1,0.8999999599349189,1,1
1,0.8999999590752449,1,1
1,0.8999999537309794,1,1
1,0.899999962,1,1
1,0.8978230060961113,1,1
0.6666666666666666,0.676466407,0.6340836778509129,1
0.6666666666666666,0.8999999578871715,1,1
0.6666666666666666,0.8999999579748914,1,1
1,0.8999999592645778,1,1
1,0.8999999534416241,1,1
1,0.8999999615213029,1,1
1,0.8999999627424059,1,1
1,0.8999999575480108,1,1
1,0.8999999499839137,1,1
1,0.8999999573837494,1,1
1,0.899999962,1,1
1,0.8999999613073624,1,1
1,0.8999999455122767,1,1
1,0.8999999662111641,1,1
1,0.899999959,1,1
1,0.8999999633367012,1,1
1,0.8999999568826658,1,1
1,0.8999999657545094,1,1
1,0.8999999607006055,0,1
1,0.8999999652056302,1,1
1,0.8999999519412073,1,1
1,0.8999999638802597,1,1
1,0.8999999490347975,0,1
1,0.8999999645628141,1,1
1,0.8999999557417223,1,1
1,0.8999999614452995,1,1
1,0.8999999520677893,1,1
1,0.8999999600475457,1,1
1,0.8999999668886738,1,1
1,0.899999945,1,1
1,0.8999999577030727,1,1
1,0.8999999540704705,1,1
1,0.8999999577973458,0,1
1,0.899999955,1,1
1,0.8999999552859007,1,1
1,0.899999959,1,1
1,0.8999999578127539,1,1
1,0.899999958,1,1
1,0.8999999601777698,1,1
1,0.899999955,1,1
1,0.8999999591600799,1,1
1,0.899999966,1,1
1,0.8999999464626998,0,1
1,0.8999999647868869,1,1
1,0.8999999486833653,1,1
1,0.8999999583659076,1,1
1,0.8999999527431342,1,1
1,0.8999999527778264,1,1
1,0.8999999554975021,1,1
1,0.8999999637532599,1,1
1,0.8999999548259747,1,1
1,0.8999999616219572,0,1
1,0.8999999570855675,1,1
