timestamp,mi_score,behavioral_state,file
154.5,0.7221796749054648,Focused,UnicornRecorder_12_05_2025_12_41_310
156.0,0.7712412300274065,Focused,UnicornRecorder_12_05_2025_12_41_310
157.5,0.8498300606225935,Focused,UnicornRecorder_12_05_2025_12_41_310
159.0,0.874520731632705,Focused,UnicornRecorder_12_05_2025_12_41_310
160.5,0.6696426063444744,Focused,UnicornRecorder_12_05_2025_12_41_310
162.0,0.7023006188679918,Focused,UnicornRecorder_12_05_2025_12_41_310
163.5,0.6550733210264457,Focused,UnicornRecorder_12_05_2025_12_41_310
165.0,0.7383883357192893,Focused,UnicornRecorder_12_05_2025_12_41_310
166.5,0.548769140940702,Focused,UnicornRecorder_12_05_2025_12_41_310
168.0,0.507645527463037,Focused,UnicornRecorder_12_05_2025_12_41_310
169.5,0.7707908858456062,Focused,UnicornRecorder_12_05_2025_12_41_310
171.0,0.8169300656371148,Focused,UnicornRecorder_12_05_2025_12_41_310
172.5,0.6816469550892756,Focused,UnicornRecorder_12_05_2025_12_41_310
174.0,0.5661195345288919,Focused,UnicornRecorder_12_05_2025_12_41_310
175.5,0.5498223196695307,Focused,UnicornRecorder_12_05_2025_12_41_310
177.0,0.5692645023200077,Focused,UnicornRecorder_12_05_2025_12_41_310
178.5,0.4894981453445805,Neutral,UnicornRecorder_12_05_2025_12_41_310
180.0,0.5322866465666108,Focused,UnicornRecorder_12_05_2025_12_41_310
181.5,0.7683521089798289,Focused,UnicornRecorder_12_05_2025_12_41_310
183.0,0.7381471669043818,Focused,UnicornRecorder_12_05_2025_12_41_310
184.5,0.6933992473375288,Focused,UnicornRecorder_12_05_2025_12_41_310
186.0,0.5537641411570016,Focused,UnicornRecorder_12_05_2025_12_41_310
187.5,0.6683298889862889,Focused,UnicornRecorder_12_05_2025_12_41_310
189.0,0.7185823772767843,Focused,UnicornRecorder_12_05_2025_12_41_310
190.5,0.6693542608774147,Focused,UnicornRecorder_12_05_2025_12_41_310
192.0,0.5565735661300035,Focused,UnicornRecorder_12_05_2025_12_41_310
193.5,0.531672932418068,Focused,UnicornRecorder_12_05_2025_12_41_310
195.0,0.4959534432072324,Neutral,UnicornRecorder_12_05_2025_12_41_310
196.5,0.616838262186567,Focused,UnicornRecorder_12_05_2025_12_41_310
198.0,0.6097004398858579,Focused,UnicornRecorder_12_05_2025_12_41_310
199.5,0.6425886954275483,Focused,UnicornRecorder_12_05_2025_12_41_310
201.0,0.6119305477557955,Focused,UnicornRecorder_12_05_2025_12_41_310
